"字段1","字段4","字段5"
"米仓家的小凉子","8","守护达康书记GDP"
"魏晋遗民","8","没给国产电视剧打过分，这是第一部。"
"阿梁","0","强烈安利一部国产良心反腐剧，大早上7点起来追剧。"
"子虚","0","1星"
"一丈青","5","剧情不错，商业元素饱满，就是有时候说教味也上来就想跳掉Ps:看到第六集完"
"柚子","0","都是老戏骨演的，每晚都追直播！陆毅演的很好啊！不知道那些说他演的不好的是觉得那里来的优越感，而且靳东也蛮脸大的，这部剧就是指定陆毅拍的啊！这个时候来倒贴真是无语哦！还有靳东粉丝别再豆油我了，演什么都是明楼，好好磨练演技再来说吧！支持这部剧！"
"陈陈陈","0","说“恶心”的那位，求你别看！"
"Miro_","2","这种片虽然分数肯定会很高但真的好好看啊"
"长衫造纸农","0","哪个大学生电影社的社员拿着摄像机固定拍摄的吧，镜头表现力=0，五分钟弃剧。一星送给水军和营销黑幕，真让人反胃。"
"霍青桐","0","说是中国版纸牌屋真的过誉了，只能说题材不错，政治底线还算放松，制作水平只是正常水准吧。"
"qq7232753","0","听说有水军来拉1分了"
"Olivend","0","就凭这份勇气，就已经甩开其他电视剧10条街的距离！何况其他～"
"阿颠","0","总有种要高开低走的感觉 先打四星吧…追到现在总觉得没刚开始好看了 虽然才五分之一都不到（。挺好看一剧啊 千万别烂尾"
"我是当当","0","还真的挺好看的，真的写实"
"一支禾","1","赵处长演的真好！陆毅能不能不要出场"
"伊川","0","我喜欢陈海和他同事他爸爸还有他爸的朋友！！！"
"无名无幸","0","确实不错"
"澄南","0","其实看的不是反腐，而是中国官员和政坛的政治生态。广大群众也别太吹毛求疵，毕竟能够有这样一部作品，留给后人看看现在这个时代的政坛模样，也是一种贡献。其实几千年来不外如此，中国的政治从来都是堵上身家性命，你死我活的斗争。"
"玛丽莲·神童","0","里面的台词贫的部分尴尬症都犯了，而且都是一个套路"
"冉微念","1","谜之普法栏目剧feel，而且还有字正腔圆的背景音旁白……"
"JAN","4","看完感觉五星红旗的颜色愈发鲜艳了������我背过的政治书更加栩栩如生了（我措辞不好 反正是五星的剧没毛病！）"
"叶月娴","14","刚开始看着挺不错，但是后面剧情有点拖拉了，看陆毅不可一世的模样有点格格不入"
"笨笨笨，，小孩","21","一星太多，也是够了  他们的欣赏水平得多高"
"万先生","0","还行，演技好，剧情比较好，就是节奏有些慢。"
"杨过儿","0","必须顶，不能让劣币驱逐良币"
"沐倩","0","因为陆毅看的，结果彻底陷进去了，真的良心剧"
"naonao","2","一口气看了12集，好看"
"咪将","1","其实没有想象得好看，不过不是演员的问题，是编剧的锅。有点儿乱，几条线并行得不好。这剧的宣发应该死全家。"
"春空千鹤若幻梦0","0","还行 强行宣传实在恶心 受不了 就这个捧得跟什么似得 都没看过好剧吗 感觉挺可悲的 90年代的电视剧演技几乎是必备的 剧本也大都比较考究 弄到现在整成这样 一部合格还不错的电视剧当宝 哎"
"who's 劳人?","5","我对不起国家 对不起党 看着那一张张老干部们的脸 硬是脸盲…… 是我政治觉悟低，里面保护人民群众利益的桥段，也不明白到底是对的还是错的，总觉得陈老爷子哪里有问题……"
"橙子","2","看比看小鲜肉演的有意思。有情节，有故事，看多了电视剧里的整容脸，这里面的也有，没那么多，毕竟女演员还是很少的。不喜欢那个郑胜利和他的小女友，一个导演莫名给自己加了那么多的戏，看着真乱。还有就是一会讲这个几句，一会切换那个场景几句，来回切换看着好累，还不如一个讲完了再讲另一个。"
"就喜欢一个人玩","5","陆毅怎么演什么都那么讨厌呢 一副正义凛然居高临下的样子"
"岛屿云烟","0","剪辑太烂，不晓得他这样剪目的是啥。不过话说，这种题材真的是前所未有的，剧情没啥硬伤，尺度也大，我很感兴趣，也很喜欢。今年追的第一部国产剧。"
"纵火","2","看了两集，歪日，贼鸡儿好看"
"酒红色西装","2","好久没出这种类型的电视剧了，昨天看了一集，全员演技在线，那个处长住着小房子，上班骑电动车，每月给农村的妈300元，还有那个支开司机伪装逃跑的管规划的官，都有真实事件的影子，节奏有点慢，但是部吸引人的好剧。（呵呵营销的反感）"
"地道战的田薯","2","看完第一集 觉得还不错但是后来的看着....就很传统了...节奏也拖沓起来...减星吧唉"
"河淙与清风","0","觉得真是一部剧情特别棒演技炸裂的好剧，影视有这样的开始真好。"
"六便士","6","超好看！感觉有点黑色幽默！简直官场现形记！继续追现在五星！"
"chx无名","0","官场的生态和规则，刻画地入木三分"
"Oueng","0","岁数大了 开始看这种电视剧了 之前看打铁还需自身硬的时候就有过这种感觉"
"京都民工","0","这个尺度，我给五星，只不过很多地方有点儿拖拉"
"米花花","1","在老妈的反复安利下看了  感觉节奏还不错啊"
"小叶儿","3","一颗星减給陆毅，完全不适合做演员，好无表演天分。半颗星减给侯亮平的媳妇，因为我太讨厌这种面无表情瞪着个灯泡眼的绿茶娘们儿了。半颗星加给侯勇，演的太真了，如果不是陆毅在我还以为是纪录片。"
"心远篱人","4","需要更多此类电视剧电影"
"格外耀眼","0","演员阵容 差强人意 节奏慢"
"梦想家星光","0","陆毅饰演的侯亮平是一个没有背景的符号化的人物 像孙猴子一样是石头缝里蹦出来他是为了人民代言的一只孙猴子 就是这样稍微轻佻的个性 并不是演技问题"
"✨小宝贝✨","12","是吧，现在还真是只有这些老戏骨的戏能看！"
"glory825","0","对于国产剧已经是一个很大的进步了，难得的没见到流量小生，花旦过来搅局，真是一股清流"
"rayvic","0","国剧通病：啰嗦拖沓，强行搞笑。一星是给恶心的宣传"
"左半球","0","如果情节不拖沓那就完美了"
"小吴想去大理","0","必须满分！看老戏骨们飙戏太爽了！"
"北方 知寒","5","一位省公安厅长说，我是从娘胎来，往坟墓里去"
"莹sama","8","没有人觉得李达康像老十岁的甄子丹吗？"
"南町野猫","0","只能说剧情越来越拖，还有那个林画画真像我认识的一个傻逼鸡"
"大西洋的地盘","0","虽然我们处在黑暗中，但能拍出来就是光明的。"
"方羌羌","0","请垃圾摄影师原地爆炸 真是坏了一锅粥"
".COM","0","每一集都好感动������还有真的想把打一星的人和吹孔笙的人都特么举报了。还有说陆毅演技问题的，好吧，这个确实是把陆毅放在一堆演技高超的人里面确实有点不怎么突出，但是至少不出戏吧，第二集他看到冰箱里的钱以及侯勇老师的深刻演技下，愤怒到眼睛都红了，所以不要那么挑剔了。要挑剔就点名cob那类"
"声色、蒹葭","0","这部剧能放出来已经很好了。对于贪这种事大家都心知肚明，清官都不一定清，只是贪多贪少的问题。"
"小西米","1","里面说出好多大实话，和好多我最讨厌的说话靠猜。现实啊"
"二三事","1","好剧！某些地方能再深探一些就好了，某些地方很僵硬，陆毅的演技不大好，但仍然是好剧。"
"老特拉福德","0","剧情还是可以 说教过多，过头了"
"焦虑症先生","0","第一次看国产现代剧这么入迷，内心戏很足。感觉今年因为韩国检察官查干政门和这部电视剧报检院的人要突破天际了~"
"璇","0","一群男人老戏骨飙戏还是挺有看头的"
"一朵药片","0","整体还可以，这样的题材挺抓人眼球的，但是部分情节太拖了，再紧凑一些才合理。"
"岁月 光影","0","不要动不动就代表人民的名义"
"天秤座的胖子莹","0","只要不看网上路透一直猜倒是很有趣，终于有部剧正视观众的智商也是不错的，戏骨之间的飚戏很过瘾但是剧集的女演员们选的不太好，还有就是剧情发展到中断有注水的嫌疑，中国正剧总喜欢用几十集讲一个案子难免拖拉"
"castilla","15","这部剧从台词到道具80%就是官场还原，小清新们应该是美剧看多了。如果你想了解中国政治生态，那负责任的告诉你，和这部剧差不多。如果你想看艺术性，可能你可以挑出槽点。体制外的人你就当科普看看你永远接触不到的事情便好。"
"说好的世界尽头","0","应该对国产电视剧有信心的……"
"绾绾Joey","10","陆毅穿检察官制服太帅了来看的！还不错，先打个三星～"
"木头人_Cho","0","正剧的典范"
"木棉同学","0","四星给老戏骨们，还有一星给陆毅一脸正气的颜值！和他包青天的形象无限契合，是我的错觉？"
"M_M","0","国产好剧 略假"
"春两袖","2","能说我今天一天，就追了这一部剧吗"
"微微大人","7","此剧贴近真实反应中国政治生态的现状，说话的艺术，婉转，台词精彩，小官耀武扬威，见到上级瞬间怂样。饭局酒局上你来我往，互吹互捧。老戏骨们的演技简直不要太棒，各自演好各自角色的性格，或圆滑世故，或直来直往，或绵里藏针，不露声色。难得有如此好剧。"
"七末","5","能在一集内抓住观众眼球的剧集，近年不多了，人民的名义必须推荐！"
"颦儿","0","刚看了七集，听过瘾的，对一些事情理解加深了，也理解了一些不曾理解的事情。"
"warriors","0","很多年不看国产剧，看了两集，不想看了。仍然是主旋律，陆毅的说教很烦人。人物日常对话总有北京话的那股塑料味，一套一套的，爱贫，又没创意，现实中人这么说话吗。还有官场语言那种随时严肃端正的范儿我受不了。人物性格设定非黑即白的样板戏我觉得爸妈那个年代的人可能会喜欢。"
"研磨爱","1","在这里,《人民的名义》剧组再次郑重警告一切不法分子,《人民的名义》不仅是广大人民群众极其喜欢的一部十分难得的现实题材反腐剧,也是多家机关单位影视机构共同完成的一项重大政治任务,广大人民群众和有关制片方绝不会允许被恶意抹黑诋毁,我们将利用一切合法手段全面启动预警机制,检测那些利用水军诋毁"
"Nein zedd","0","4.0，还可以，就是剧情有些拖。再看看吧"
"哀木涕","0","神剧，就是陆毅太正直了。。悠悠球那个真的逗乐我了，真的这就是社会"
"中二已痊愈","0","这部戏有价值的地方在于几条线索背后的关照，我最欣赏的一部分是大风厂改制。对官场的反映最精彩的在于对群众路线的重提和对共产党干部培养方式的刻画。至于官员个人形象塑造什么的，并不觉得达康书记育良书记的形象有多精彩。是一部现实主义的剧，能直面问题，但是现代剧也就注定最后会丢失很多。"
"秌","0","就凭这个尺度就应该给满分"
"renee","0","有点约美剧的套路"
"翻滚吧毕业君","17","还不错。但我捋了下人物关系：高官的学生～高官。高官的子女～高官。高官的发小～巨商。高官的侄女～巨商。高官的老婆～银行长。。《人民的民义》人民没看到，只看到官商阶级窝里斗了"
"桦23","0","节奏不错"
"一个神奇","0","之前已经对浮躁的国产剧已经丧失了信心，上一部国产剧看的时候，还是在四年前大学的时候，看的是也是由同名小说改编的电视剧《青瓷》。这《人民的名义》尺度确实好大，不再回避现实反腐中见不得人的细节。层层揭露。希望以后多出好剧，再出几部大压力的反腐剧，而不要总是播那浮夸演技的电视剧，辣眼睛"
"是茶茶呀","2","紧凑，真实，汇报与对话开会冠冕堂皇，瞻前顾后太真实了！"
"子皿","5","大尺度，大手笔，大演技！"
"⑨刀一闪喵喵喵","2","别以为敢拍就是啥牛逼的事儿，无脑吹5星的都特么长点儿眼睛，最高检的好伐？广电再牛逼也就是长工，这后面才是真赵……虽然也没什么用就是了。所以说能拍算什么牛逼？有本事你让文艺工作者自己来创作来拍？开封府衙前面喊包青天是没有用的，你得让民众在乡间喊，才行。"
"even","6","大家都看得太快啦，我才看到8，不了解公检法的人觉得拍得很好，不过里面有几个可有可无的人，比如郑西坡他儿子，还有林某某和她男朋友"
"懵July","0","一帮子老戏骨对戏的感觉真的看着太爽了，陈海出车祸，陈岩石在医院走廊的那段看哭了_(:з」∠)_ 第二集里那个下车就腿软演的也超好。其它的年轻人感觉就是有点跟不上，侯亮平有些台词升华的太过明显了。不过瑕不掩瑜，还是值得一看的好作品。"
"faily tale","0","我们是用比较来的。。。。比较出来的结果是全五星"
"圖.","21","光看到片头大量实力派演员就燃 被侯勇的三阶段崩溃过程折服 凯丽老师太拘了 特别绷着 感觉随时都要站起来对着女婿发飙的跳戏感哈哈"
"LiuVv","0","作为上星电视剧，这个尺度我真的服气。但是陆毅真的太尴尬了，他一出现我就出戏。有关他的友情戏、亲情戏感觉都像硬要他们凑在一起，大家都不情不愿的样子；有其他人不断地提他像猴儿一样，也是很醉。一定要表现他猴一样的形象，学学刘星、余罪不就很好吗，反复提却没有具体情节表现，巨奇怪啊。"
"十里芳草","12","还是人搞人人整人人治人，勉勉强强不能看"
"守鹤","7","很多细节经不起推敲 特地来北京交接工作 一个卷宗交接就是随便放桌子上然后就可以去吃饭了 另外陆毅这个学是白特么上了"
"逆骨。","5","尺度很大，挡不住台词尴尬，中国式的商贾和官僚主义，响应政策的反腐题材。"
"小角落","2","扣除一星，因为无关紧要的郑乾"
"灞波儿奔","0","当代的官场现形记"
"Thinker","12","想知道有多少人被一墙壁、一大床、一冰箱的人民币震撼了。国之蠹虫，此时不除，更待何时！"
"小强","3","这力度，这铺垫，这现实感必须大赞，希望最后不是一个歌功颂德的结尾"
"低调小白兔","0","为什么有人觉得是高开低走，明明是越来越精彩好吗？"
"苏璟","1","演员题材各给两颗星"
"aut","0","进步了很多的国产剧，但还是有一些老毛病。不知道郑西坡父子有何重要，反感其子"
"小闹钟","6","有瑕疵，但死命支持这类新的题材！不要再拍谍战抗日古装了"
"Charlotte","0","就冲党性这么强，也得五星！社会主义存在问题，但是我爱我们现在的这个社会，慢慢都会好起来~陆毅演技还可以啊，哪里被吊打？！那个郑乾和宝宝能剪掉好？������真的很讨厌"
"林小雨","0","不懂政治，很多细节还得靠人科普才懂。"
"异数","1","陆毅应该是我喜欢的男明星最久的一个。都是老司机啊，满是套路。演的可真是好啊，老戏骨！"
"舞低杨柳楼心月","3","这么好的剧不打五星对不起自己"
"悠悠","0","片子很好看，但我更希望是在释放大力反腐的信号。。因为现实比剧里严重的多，我几乎没见过比较清明的时期"
"drizzle","25","主旋律，根红苗正都好人，监察厅男主一脸正气，真的恶心，官腔一大堆，你看到的只是政府想告诉你的"
"时光","7","题材和演技一流，没的说，在目前国产电视剧一片大烂的背景下这部剧已经不错了。但是看了几集后剧情 太拖沓，没有出现高智商和强战斗力的对弈！~~~~~"
"cut������","0","讲真 陆毅真的……他不适合这个剧 估计胡歌演好多了"
"Junjin的老婆","6","围观陆毅演技被吊打！"
"黑色信封","3","什么时候才能再有像《潜伏》一样好的主流正剧呢？"
"阿言","0","相当不错,紧凑,正能量也能让人不反感"
"电影人生","1","棒"
"tintin","1","在东大拍的耶，可惜情节有些拖沓了 ，把能讲成五星的故事讲成了三星，不过里面那些老演员演的真好。"
"bitsy cosmos","6","哎，为拔高分贡献一丁点力气吧~ 整个评分下降的过程就是 木秀于林 风必摧之"
"寻找无双","0","是不是过誉了啊。制作也不算精良，拖拖拉拉的。"
"晨风","0","挺真实，挺好看，不只是有反腐的噱头"
"冬冬","0","很精彩,这尺度是突破"
"chichi","0","老戏骨飙戏实在是好看啊！唯一的不足是郑乾那家伙的戏怎么这么多"
"白夜","0","片名差评"
"刘玉婷","2","不错！！！"
"我很王力宏","1","看看这些演员的演技，那些有流量却无丝毫质量的垃圾鲜肉们（李易峰 吴亦凡那些**）不觉得惭愧吗？"
"Skye","4","作为一个见过一小部分官场生活的人，觉得很多内容还是很中国实际情景的，但是拍摄手段，剧本衔接，剪辑等等还是有很多地方有点傻，让人出戏..."
"Henry李","0","绝对的五星好评，各个都是实力派啊，第一集的侯勇就直接抓住眼球了"
"一个杀手","4","陆毅给整个人民拖后腿了。"
"陶泉霖","0","前天看到后半夜，就是单纯的好奇心，这剧确实不错，都是老戏骨，真心比现在的小鲜肉，动不动就是上千万的片酬，比一部电影的成本还高。。"
"沐阳Amigo","0","不说别的，就凭这股国产剧清流也要给六星吧。"
"xxxadbc","0","老戏骨超赞,剧情有点拖沓，Bug 也多，压缩到三十集正好。"
"遁身远迹","0","一切为了达康"
"Sunday27","0","陆毅演技负分"
"胶光片影","0","陆毅演技扣一星…"
"喵小姐","0","三集弃"
"灼灼春园","0","好剧，情节拖沓了些。"
"翀翃羽","0","这部剧非常震撼，对于我们年轻一代的人意义颇深！里面的每位演员都演技精湛，特别喜欢里面的达康书记--吴刚，希望我们年轻人可以多学习！但这部剧美中不足的地方，就是郑胜利这个角色，但目前作为今年最好的剧，5颗星"
"____王先森づ","0","看了一下电视剧毕竟是电视剧、和现实还是有差距的。细节就不说了、大家都知道、我无需多言。还有我不知道剧中的郑胜利到底是什么J8不知道导演用意何在，这应该就是“反腐神剧”吧！"
"水匡","0","想说的太多，短评不够发挥，先表白达康书记!!!"
"喜欢不要来由","0","一般般"
"鸡小豪","0","被英美剧养叼了胃口早就看不进去国产剧的我，因为看了一眼就深深被吸引不可自拔了。虽然五星略高但平衡下一二星正好。感觉这部剧最大的作用就是在打某些明星演员影帝影后的脸，真响啊！真想知道他们脸疼不"
"桃源故人","0","有周梅森做编剧，文本上过关，非常棒。更满意的是一群戏骨演技一直在线。不满意的一星是剪辑略混乱，还有就是为嘛检察院都是正面人物？第一集最高检抓人略出戏，反腐主要靠中纪委好嘛！"
"ally","0","真实"
"水云间","0","绝对的好评"
"红色纱笼白衣裳","2","相对于美剧来说剧情有点拖沓了，然而老戏骨演技炸裂，上一部看的国产剧还是甄嬛传。"
"雪狼","0","其实槽点挺多的 但能做到不偏不倚评价的少 中和下就是中肯的得分了 我喜欢这剧"
"AEIOU","0","看了6集 mark一下 觉得还不错呢 只是确实人物不够丰满的感觉~好坏太明显 不够经得起推敲  but still演员们素质都很好 老戏骨们看着很赞~~ 五十多集啊真的 我缓缓再看"
"水中月","0","老戏骨太赞了"
"火树银花","0","五分好剧，黄毛扣一分"
"韩承羲小朋友","0","拖沓"
"六爻","0","剧情很引人入胜，演员演技也很好，就是一些悬念迟迟不揭开，节奏略慢"
"原罪","0","喜欢❤️"
"豆豆","0","一开始是5星，后面觉得郑胜利的剧情太多又拖沓，还和主题完全扯不上关系，就改为4星，现在发现他的戏份越来越多了，镜头又切换的频繁，一快进又错过别人的戏，刚坐稳郑胜利又出来了，又得快进，每集都是这样看过来的，真烦人，如果后面他的戏份还是还删，那我就直接一星"
"高冷吃货","0","从第一集开始追，很负责任的说，这是一部好剧，诸多老戏骨保驾护航，中国政治小说第一人做编剧，作为观众真的很满意了。而且剧情力度很大，这是近几年都看不到的，我会一直追下去，希望不要让我失望。"
"邪王","0","三星半，节奏太慢了。不理解黄毛一家的存在有啥意义。把陆毅换成段奕宏会不会更好？"
"朱寒","22","都说尺度大，没觉得大啊。"
"PirateQ","0","居然。。还。。。不错？"
"C","7","这才是聪明的宣传电视剧，比那些侮辱观众智商的“正剧”不知道要高明多少倍"
"别说我吻我吧","0","三星鼓励吧！  不敢对比   国产的先例了  拍的一般般"
"夏光年","0","可我就是不喜欢这类型的剧怎么办"
"残阳","0","主线剧情还不错 就是一些乱七八糟的支线剧情太傻逼无聊多余 比如大风厂工人、网络水军眼镜男和女朋友、陈岩石的忆苦思甜~还有就是导演很喜欢同时段多场景切换 可是切换地很不自然 非常跳跃 能不能好好做反贪破案 讲讲几个书记官员和检察官的事儿 别整些主旋律恶心人 浓缩成20集应该会是部好剧"
"想改名的小鱼仔","0","被达康书记圈粉！"
"感性与理智并存","0","看到20集了，基本也到了本剧的小半，说真的在这些年国产剧和电影江河日下的大形势下，这部剧算神剧了。5星的评价确实是中肯的，仁者见仁智者见智吧。"
"空条R太郎","0","林华华和那个郑乾神烦"
"新概念学五遍","0","到了15集之后剪辑太乱"
"willer","0","还行。很催眠。"
"隔壁老王","0","嗯，老戏骨们。"
"Bridegroom","0","明显剧情开头非常好，后面开始滑坡。不能理解为什么要加入许多无关的“搞笑”桥段，也不能接受把人物立得太正。"
"安知非","1","拖沓是顽疾，其他很好。"
"赵笑天","0","吹过头了，尺度是大了点，说了点以前都没明说的话，但就目前看的20集来说，硬伤太多，首先是年龄线混乱，其次是支线太跳戏，再次是人物脸谱化，最后，等看完再说"
"豆角","0","如果没有郑西坡他们家的戏份，压缩到50集，我愿意给五星，本来想给四星半的，但是考虑到大陆的电视剧水平，这个太良心了，跟十年前芒果的大明王朝一样，是个里程碑，我愿意给五星"
"JasonYu","3","并不乐观"
"Katie","0","很好看！很现实"
"Maron","0","其实，尺度的大小，剧情是否真实都只是手段，更重要的应该是反思!"
"Chancius","0","初看沙书记，有点像……"
"Stranglehold","0","好久没追过国产电视剧了"
"深 氺","0","我爸是它的脑残粉"
"见光易分解","0","好看！"
"亻壬","2","看了两集，官场描写极赞，陆毅演技尴尬。不会再追，长剧看不动。"
"胖迪的水灵眼","0","某些地方剪辑没有交接好"
"虚灵","0","非常精彩。"
"魚之楽","0","一看就停不下来了，就喜欢看老戏骨飙戏！"
"an_doris","0","支持良心剧~！"
"且看我如何飞翔","0","好看，追剧"
"越鸟巢南枝","0","一直以为是赵处长是好人，直到看到了那么多的钱的时候真震惊了"
"简单就好","0","喜欢陆毅的候亮平、还有达康书记、还有郑西坡、郑胜利、陈岩石、陈海，值得五星好评，看了还想看的电视剧，为人民的名义剧组点赞。加油"
"蹦哒的兔子","0","好看！这剧得认真看������不然一不留神就跟不上了"
"李培源","0","湖北省荆州市。"
"修罗大掌柜","2","陆毅比较下的弱演技以及一些太明显插入的主旋律口号减一星"
"小酥打","0","那个毛毛虫演的什么玩意，看得恶心"
"恋.闲","0","bug挺多的，最好可以压缩到20多集。不过确实是很长时间以来，这类题材的比较好的电视剧。"
"车衿","0","从湄公河行动到这部电视剧 主旋律片要起来了"
"Aris Lopez","0","有的人2分的看多了，出来一个5分的给个8分"
"CLWTRFU","0","惜刘烨靳东，略输痞气。亚文千源，稍逊正义。叔辈天骄，祖峰秀波，只欠狠劲与脾气。饰侯亮平者，还看陆毅。"
"太阳西国境南","0","原以为很无聊，结果看的停不下来。演技好，剧情高度还原现实。虽然貌似剧情发展很慢，但是个人认为在铺开局面，做伏笔。希望后面的剧情慢慢出些惊人线索。"
"なつ風","0","太拖拉"
"陈小胖的芭比","0","都说里面的警察形象很负面，里面的检察官也好不到哪里去。1盯人盯不住，盯人最起码的每个出入口安排人不是常识吗？结果就派两个人进入蹭吃蹭喝把人跟丢了。2问话问不出，陆亦可莫名其妙怼上级的时候挺有一套的，对赵东来毫无脾气就算了，蔡成功一个小商人也搞不定，非得主角出马，她这个处长我怀疑也是"
"难得做梦","3","农民的儿子与老革命的儿子。"
"夏日如雨","0","就光说80多位老戏骨片酬只有4800W这点 我就应该给5星"
"ckx","0","前面两集5分，后面开始1分，剧情拖沓，毫无节奏，典型国产剧混时长！"
"暗夜疯魔","1","五星评价 希望这部剧能成为一个转折点"
"Ling✿","2","讲真还不错"
"柚子花不开","0","党和人民既然敢直面错误，我就是服气的。老戏骨，真的，一个眼神一个动作都是入木三分的。"
"Tim","0","四星半。"
"白楼","0","不是很真实"
"我就是沉沉","4","55集太长了。瞬间弃剧"
"天降大任于斯人","0","前两集太精彩了，后面几集就有点水，陆毅柯蓝演技真的是有点浮，老戏骨真是太牛逼了"
"公子李。","0","没有宣传的噱头 就凭空出现了这样一部良心剧、老戏骨们的演技一个比一个的精彩、整部戏的投资是1.2E 它甚至所有投资还没有一部雷剧的里的小鲜肉个人片酬高、但是它的意义却远超于那些弱智尴尬的言情剧、豆瓣今年评分最高的电视剧了、值得一看 推荐！"
"zzkszzks","0","有些关我屁事的情节真的是又臭又长又无聊 念台词还不如AI读文本 演员表演生硬到不行  幸好有些细节不错"
"葱油犬","0","给一星是因为爱吹捧的人太多，实话说拖沓剧情就跟流水账一样，台词也是冗长的政治课，这根本不能叫电视剧。尺度是大，但不能改变国家也没什么牛逼的，中国人就是喜欢形式化"
"將軍要飞起了","14","明明是个锦衣卫，非得把自己当成廉政公署。编剧完全不会写对白，说句人话有那么难么"
"坠落","0","我承认前两集吸引了我   但往后看剧情就有点拖拉了 多了一些不必要的剧情  还有为什么看了这么久就是没见过市长呢  比如大风厂116事件  还有新闻发布会  市长是应该出面的"
"zz","0","主旋律 呵呵"
"一个cutie","0","台词真的满满尴尬，陆毅的演技怎么说呢，你不能去评价一个没有的东西。抓捕欧阳菁追车戏能演一整集，这节奏我也是服的。"
"摇摇摇到外婆桥","0","四星半。毛毛虫必快进。检察院全体伟光正。达康书记成了一大看点。不懂剪辑方式。"
"七喜。","2","达康老师不哭(ง •̀_•́)ง"
"东学西读","7","人民就是这样被当做皮球踢来踢去的"
"程鑫丶","0","必须给5星～"
"伊丽莎白桂","1","剪辑很碎，毛毛虫那条线简直无聊，检察院除了检察长外一群作逼，但是官场戏确实不错"
"3.1415926535897","1","2017-04-08看了四集，我们本来抱着看耍的心态点了第一集来看，结果还看进去了，尺度在天朝算还行了"
"nick","0","这片给个9分以上绝对不过分  反派突破了传统  大尺度的东西有很多  而且比起现在一窝蜂的谍战和古装剧  题材特别好  比起一大帮不会演戏的卖肉演员来说  这部戏的演员演技特强  不知道一些别有用心的水军刷低分是收了谁的钱  良心呢？"
"芒果","0","终究还是主旋律，摆脱不了脸谱和说叫"
"春天花卉开","0","有些内容确实还是说出了社会实际问题，但是打个巴掌给一堆甜枣，市场经济没法批判资本主义企业家，为了填充空白的意识形态需要儒家传统的一些奴隶道德，同时十年又彻底否定儒家又导致了双方割裂无法融合，没有了想象出来的靶子只能高喊人心不古怀念革命时代空喊德治这种不切实际的口号。高级宣传片而已"
"Thomas Daley","0","好看。。。"
"名字没想好","1","从小到大第一次追一个国产剧"
"蒹葭苍苍","0","陆毅虽然比不上各位老戏骨，但是也没到被吊打的地步。被前两集演赵处长的演员演技震撼到，印象深刻！"
"麻小丸子","4","全民追剧中啦，根本停不下来！各方面确实不错，不是国内制作不出好剧，是好剧难以过审播出呐！"
"励志当哈哈写手","0","说实话，节奏十分糟糕，人物主线不明。的确是好演员，剧本除了部分地方也不错，题材很强势。但是导演能力实在太差，导致3集以后说教味太浓，混乱，让人只能快进看。如果让张黎来拍，有希望成为真的神作了。现在的8.5以上其实是配不上的，比北平无战事差的其实很远。客观来说，7.5是极限"
"枵兠","0","光是这真实度，我就想五星"
"碧海天明","0","台词耐人寻味，节奏虽慢但不枯燥，根本停不下来好吧"
"晨曦时缅怀年少","0","觉得好，就打五星！"
"你微笑时好美","0","平衡一下没进过政府大院的脑残"
"Sissi","0","题材好，但是台词略尴尬，而且有些演员没能力把大段的书面台词转换的口语化，服化道也略粗糙。胜在尺度，开了先河。九点几分太夸张了，八分左右还是可以的。"
"黄粱一梦","0","加油，国产剧，好久没看到这么大尺度的了"
"凉冰清","0","难得的好剧，全是演技派"
"Miss","1","说陆毅演技的，先看看导演初步给陆毅的定位"
"最美的你","0","我很喜欢这部剧，然而他们营销的方式让我很恶心，四星改两星"
"鼓浪屿的海","3","用心的片子就是能吸引观众"
"死肥仔","0","配音很带感"
"不二崩","0","官场厚黑学啊。心疼达康书记…"
"小木独钓寒江雪","0","公安部湄公河行动，最高检人民的名义。那最高法，人民的审判？政府，人民的政府？？期待！"
".","0","有些脑残看到主旋律就给1分"
"xixiyoyo1208","0","yy吧"
"回不去的 _恬","0","达康书记(≧3≦)当年就很喜欢李玉堂"
"Melissa","0","前面很好看，后面开始拖沓"
"一股清流","0","我居然有生之年看到了8.5分以上的国产电视剧，太不容易了"
"vash19","0","������"
"纵你寻","7","节奏拖沓 情节平淡 台词生硬 还是觉得弃剧了 真不知道怎么来了那么多好评 一星是给老戏骨，另一星是给其他"
"Something0502","1","好一句“多大的官才大啊？”这种剧能过审，的确是巨大飞跃"
"zhibgat","0","20170408，还可以，但谈不上多好。只能说“老板，工作都做完了。我先下班了。”我最喜欢的的是市委书记的角色。"
"左左左火龙果","0","我觉得挺好看，至少看点多过缺点"
"龙云腾","0","达康书记别低头，GDP会掉；达康书记别哭泣，祁同伟会笑。"
"昵称不能为空","0","难得一遇的好剧！"
"奕奕舟行","0","前两集电影质量。"
"沈少远","0","中国版《纸牌屋》？呸！论尺度，给《纸牌屋》提鞋都不配。"
"情不情","1","这电视剧是给外国人看的吧 …… ������ 这明明就是宣传片。打四颗星是因为还挺喜欢里面的“领导们”的。——希望有人把达康书记育良书记沙书记季检察长都剪出来。嗯，顺便加上公安局长赵东来 。虽然过于乐观，只愿看的人乐呵，做的人反思。希望世界越来越好，中国越来越棒！"
"不爱甜食的猫","4","好看"
"雨中风貌","0","对高育良的前妻的刻画太好，已经是顶级文豪的写法了。"
"Unicorn-Pan","6","演技好到我要骂脏话了！！！！"
